bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
5,572847,1.0,1.0,0.0
5,575086,1.0,1.0,0.0
5,577104,1.0,1.0,0.0
5,577839,1.0,1.0,0.0
5,577968,1.0,1.0,0.0
5,578429,1.0,1.0,0.0
5,578723,1.0,1.0,0.0
5,579480,1.0,1.0,0.0
5,582757,1.0,1.0,0.0
5,583162,1.0,1.0,0.0
5,584093,1.0,1.0,0.0
5,584749,1.0,1.0,0.0
5,584825,1.0,1.0,0.0
5,585174,1.0,1.0,0.0
5,585497,1.0,1.0,0.0
5,586149,1.0,1.0,0.0
5,586262,1.0,1.0,0.0
5,586750,1.0,1.0,0.0
5,588298,1.0,1.0,0.0
5,588493,1.0,1.0,0.0
5,588692,1.0,1.0,0.0
5,589839,1.0,1.0,0.0
5,590361,1.0,1.0,0.0
5,591618,1.0,1.0,0.0
5,591858,1.0,1.0,0.0
5,592682,1.0,1.0,0.0
5,592924,1.0,1.0,0.0
5,592980,1.0,1.0,0.0
5,593516,1.0,1.0,0.0
5,593812,1.0,1.0,0.0
5,593988,1.0,1.0,0.0
5,594117,1.0,1.0,0.0
5,594247,1.0,1.0,0.0
5,596157,1.0,1.0,0.0
5,597899,1.0,1.0,0.0
5,599353,1.0,1.0,0.0
5,599866,1.0,1.0,0.0
5,601125,1.0,1.0,0.0
5,601544,1.0,1.0,0.0
6,602342,1.0,1.0,0.0
6,602602,1.0,1.0,0.0
6,603385,1.0,1.0,0.0
6,604148,1.0,1.0,0.0
6,605963,1.0,1.0,0.0
6,606745,1.0,1.0,0.0
6,607349,1.0,1.0,0.0
6,607668,1.0,1.0,0.0
6,607911,1.0,1.0,0.0
6,612810,1.0,1.0,0.0
6,616076,1.0,1.0,0.0
6,618939,1.0,1.0,0.0
6,618992,1.0,1.0,0.0
6,619744,1.0,1.0,0.0
6,625294,1.0,1.0,0.0
6,626656,1.0,1.0,0.0
6,626822,1.0,1.0,0.0
6,629821,1.0,1.0,0.0
6,630100,1.0,1.0,0.0
6,630451,1.0,1.0,0.0
6,631135,1.0,1.0,0.0
6,633984,1.0,1.0,0.0
6,634993,1.0,1.0,0.0
6,637090,1.0,1.0,0.0
6,639023,1.0,1.0,0.0
6,639299,1.0,1.0,0.0
6,641233,1.0,1.0,0.0
6,644227,1.0,1.0,0.0
6,646261,1.0,1.0,0.0
